time,y,x,lon,lat,wind
2005-01-01 02:00:00,46.75,1.5,1.5,46.75,0.13541094474683282
2005-01-01 02:00:00,46.75,1.75,1.75,46.75,0.1487459265049508
2005-01-01 02:00:00,46.75,2.0,2.0,46.75,0.16156908183342675
2005-01-01 02:00:00,46.5,1.0,1.0,46.5,0.11604989957368804
2005-01-01 02:00:00,46.5,1.25,1.25,46.5,0.11431953478361434
2005-01-01 02:00:00,46.5,1.5,1.5,46.5,0.11867021374428913
2005-01-01 02:00:00,46.5,1.75,1.75,46.5,0.12843418969078346
2005-01-01 02:00:00,46.5,2.0,2.0,46.5,0.13285971737653182
2005-01-01 02:00:00,46.25,1.0,1.0,46.25,0.09252258796788322
2005-01-01 02:00:00,46.25,1.25,1.25,46.25,0.08855922977565565
2005-01-01 02:00:00,46.25,1.5,1.5,46.25,0.08698360165322479
2005-01-01 02:00:00,46.25,1.75,1.75,46.25,0.09771013040864643
2005-01-01 02:00:00,46.25,2.0,2.0,46.25,0.10568276988516262
2005-01-01 02:00:00,46.0,1.0,1.0,46.0,0.07193106481768091
2005-01-01 02:00:00,46.0,1.25,1.25,46.0,0.06634103275206615
2005-01-01 02:00:00,46.0,1.5,1.5,46.0,0.0538650398843939
2005-01-01 02:00:00,46.0,1.75,1.75,46.0,0.06841164212356596
2005-01-01 02:00:00,46.0,2.0,2.0,46.0,0.08121843615722525
2005-01-01 03:00:00,48.0,1.0,1.0,48.0,0.06262969893238224
2005-01-01 03:00:00,48.0,1.25,1.25,48.0,0.05696814773470324
2005-01-01 03:00:00,48.0,1.5,1.5,48.0,0.04920820072324482
2005-01-01 03:00:00,48.0,1.75,1.75,48.0,0.048181187964344174
2005-01-01 03:00:00,48.0,2.0,2.0,48.0,0.04700376004241684
2005-01-01 03:00:00,47.75,1.0,1.0,47.75,0.08368883866349343
2005-01-01 03:00:00,47.75,1.25,1.25,47.75,0.07613407286507425
2005-01-01 03:00:00,47.75,1.5,1.5,47.75,0.06420984574558512
2005-01-01 03:00:00,47.75,1.75,1.75,47.75,0.05528329933043604
2005-01-01 03:00:00,47.75,2.0,2.0,47.75,0.052321285221460075
2005-01-01 03:00:00,47.5,1.0,1.0,47.5,0.100144794014457
2005-01-01 03:00:00,47.5,1.25,1.25,47.5,0.0952865842547867
2005-01-01 03:00:00,47.5,1.5,1.5,47.5,0.08354012519684077
2005-01-01 03:00:00,47.5,1.75,1.75,47.5,0.07271455694489204
2005-01-01 03:00:00,47.5,2.0,2.0,47.5,0.06384310040304618
2005-01-01 03:00:00,47.25,1.0,1.0,47.25,0.11915909623873203
2005-01-01 03:00:00,47.25,1.25,1.25,47.25,0.113192542276808
2005-01-01 03:00:00,47.25,1.5,1.5,47.25,0.10609593953551899
2005-01-01 03:00:00,47.25,1.75,1.75,47.25,0.10480071228015221
2005-01-01 03:00:00,47.25,2.0,2.0,47.25,0.09159985854397104
2005-01-01 03:00:00,47.0,1.0,1.0,47.0,0.13063869509789083
2005-01-01 03:00:00,47.0,1.25,1.25,47.0,0.12970701895572903
2005-01-01 03:00:00,47.0,1.5,1.5,47.0,0.13787091212714406
2005-01-01 03:00:00,47.0,1.75,1.75,47.0,0.13614806407915256
2005-01-01 03:00:00,47.0,2.0,2.0,47.0,0.13850906394218668
2005-01-01 03:00:00,46.75,1.0,1.0,46.75,0.1271935771479682
2005-01-01 03:00:00,46.75,1.25,1.25,46.75,0.12424963266506049
2005-01-01 03:00:00,46.75,1.5,1.5,46.75,0.13731707636172738
2005-01-01 03:00:00,46.75,1.75,1.75,46.75,0.15182912654762298
2005-01-01 03:00:00,46.75,2.0,2.0,46.75,0.16546902212290554
2005-01-01 03:00:00,46.5,1.0,1.0,46.5,0.12087438074184811
2005-01-01 03:00:00,46.5,1.25,1.25,46.5,0.11930800075335171
2005-01-01 03:00:00,46.5,1.5,1.5,46.5,0.12494464265334876
2005-01-01 03:00:00,46.5,1.75,1.75,46.5,0.1361785506133941
2005-01-01 03:00:00,46.5,2.0,2.0,46.5,0.14147581858885291
2005-01-01 03:00:00,46.25,1.0,1.0,46.25,0.1010112356523507
2005-01-01 03:00:00,46.25,1.25,1.25,46.25,0.09716378211243558
2005-01-01 03:00:00,46.25,1.5,1.5,46.25,0.0955070604604181
2005-01-01 03:00:00,46.25,1.75,1.75,46.25,0.10694222901429076
2005-01-01 03:00:00,46.25,2.0,2.0,46.25,0.11429808797089881
2005-01-01 03:00:00,46.0,1.0,1.0,46.0,0.07762536855913832
2005-01-01 03:00:00,46.0,1.25,1.25,46.0,0.07022535472159676
2005-01-01 03:00:00,46.0,1.5,1.5,46.0,0.05470038300403351
2005-01-01 03:00:00,46.0,1.75,1.75,46.0,0.06835226309890285
2005-01-01 03:00:00,46.0,2.0,2.0,46.0,0.07831909217794403
2005-01-01 04:00:00,48.0,1.0,1.0,48.0,0.049607408248296854
2005-01-01 04:00:00,48.0,1.25,1.25,48.0,0.03980386833475271
2005-01-01 04:00:00,48.0,1.5,1.5,48.0,0.03136313463452351
2005-01-01 04:00:00,48.0,1.75,1.75,48.0,0.0293501075060405
2005-01-01 04:00:00,48.0,2.0,2.0,48.0,0.027097892555619302
2005-01-01 04:00:00,47.75,1.0,1.0,47.75,0.07206545062130885
2005-01-01 04:00:00,47.75,1.25,1.25,47.75,0.05949565601290409
2005-01-01 04:00:00,47.75,1.5,1.5,47.75,0.04617258897647828
2005-01-01 04:00:00,47.75,1.75,1.75,47.75,0.03760610423459269
2005-01-01 04:00:00,47.75,2.0,2.0,47.75,0.03440861442817032
2005-01-01 04:00:00,47.5,1.0,1.0,47.5,0.08916788048004656
2005-01-01 04:00:00,47.5,1.25,1.25,47.5,0.07996568692187056
2005-01-01 04:00:00,47.5,1.5,1.5,47.5,0.06661335164085906
2005-01-01 04:00:00,47.5,1.75,1.75,47.5,0.05538792920382384
2005-01-01 04:00:00,47.5,2.0,2.0,47.5,0.04777733425999375
2005-01-01 04:00:00,47.25,1.0,1.0,47.25,0.11006406660768474
2005-01-01 04:00:00,47.25,1.25,1.25,47.25,0.09931639528919753
2005-01-01 04:00:00,47.25,1.5,1.5,47.25,0.09041576482216468
2005-01-01 04:00:00,47.25,1.75,1.75,47.25,0.08715994025316806
2005-01-01 04:00:00,47.25,2.0,2.0,47.25,0.07446645958601085
2005-01-01 04:00:00,47.0,1.0,1.0,47.0,0.11876808085925968
